,Date,Price,Open,High,Low,Vol.,Change %
0,"Dec 31, 2020",89.94,89.61,89.98,89.52,-,0.29%
1,"Dec 30, 2020",89.68,89.98,89.98,89.56,-,-0.35%
2,"Dec 29, 2020",89.99,90.21,90.23,89.85,-,-0.38%
3,"Dec 28, 2020",90.34,90.22,90.38,89.98,-,0.02%
4,"Dec 25, 2020",90.32,90.33,90.42,90.21,-,0.00%
5,"Dec 24, 2020",90.32,90.28,90.38,90.15,-,-0.10%
6,"Dec 23, 2020",90.41,90.52,90.67,90.16,-,-0.27%
7,"Dec 22, 2020",90.65,90.09,90.72,90.06,-,0.68%
8,"Dec 21, 2020",90.04,89.92,91.02,89.92,-,0.03%
9,"Dec 18, 2020",90.02,89.83,90.13,89.83,-,0.22%
10,"Dec 17, 2020",89.82,90.27,90.27,89.73,-,-0.69%
11,"Dec 16, 2020",90.45,90.49,90.7,90.13,-,-0.03%
12,"Dec 15, 2020",90.47,90.69,90.82,90.42,-,-0.26%
13,"Dec 14, 2020",90.71,90.98,90.98,90.42,-,-0.29%
14,"Dec 11, 2020",90.98,90.74,91.04,90.62,-,0.17%
15,"Dec 10, 2020",90.82,91.06,91.15,90.67,-,-0.29%
16,"Dec 09, 2020",91.09,90.92,91.2,90.69,-,0.13%
17,"Dec 08, 2020",90.96,90.9,91.02,90.75,-,0.19%
18,"Dec 07, 2020",90.79,90.81,91.24,90.62,-,0.10%
19,"Dec 04, 2020",90.7,90.71,90.87,90.48,-,-0.01%
20,"Dec 03, 2020",90.71,91.06,91.09,90.51,-,-0.44%
21,"Dec 02, 2020",91.12,91.19,91.5,90.99,-,-0.21%
22,"Dec 01, 2020",91.31,91.94,91.94,91.16,-,-0.61%
23,"Nov 30, 2020",91.87,91.78,92.05,91.51,-,0.09%
24,"Nov 27, 2020",91.79,92.02,92.05,91.76,-,-0.22%
25,"Nov 26, 2020",91.99,91.95,92.17,91.85,-,0.00%
26,"Nov 25, 2020",91.99,92.11,92.26,91.93,-,-0.25%
27,"Nov 24, 2020",92.23,92.53,92.56,92.13,-,-0.30%
28,"Nov 23, 2020",92.5,92.4,92.8,92.02,-,0.12%
29,"Nov 20, 2020",92.39,92.34,92.43,92.21,-,0.11%
30,"Nov 19, 2020",92.29,92.56,92.72,92.24,-,-0.02%
31,"Nov 18, 2020",92.32,92.44,92.51,92.21,-,-0.11%
32,"Nov 17, 2020",92.42,92.49,92.61,92.27,-,-0.24%
33,"Nov 16, 2020",92.64,92.72,92.84,92.46,-,-0.12%
34,"Nov 13, 2020",92.75,92.95,93.0,92.71,-,-0.22%
35,"Nov 12, 2020",92.96,93.01,93.14,92.78,-,-0.09%
36,"Nov 11, 2020",93.04,92.7,93.21,92.61,-,0.32%
37,"Nov 10, 2020",92.75,92.76,92.97,92.6,-,0.03%
38,"Nov 09, 2020",92.72,92.24,92.96,92.13,-,0.54%
39,"Nov 06, 2020",92.23,92.57,92.82,92.18,-,-0.32%
40,"Nov 05, 2020",92.53,93.34,93.54,92.49,-,-0.94%
41,"Nov 04, 2020",93.41,93.09,94.3,93.09,-,-0.16%
42,"Nov 03, 2020",93.55,94.05,94.05,93.29,-,-0.61%
43,"Nov 02, 2020",94.13,93.89,94.29,93.89,-,0.10%
44,"Oct 30, 2020",94.04,93.92,94.08,93.65,-,0.09%
45,"Oct 29, 2020",93.96,93.46,94.1,93.33,-,0.59%
46,"Oct 28, 2020",93.4,93.15,93.64,93.05,-,0.50%
47,"Oct 27, 2020",92.94,93.07,93.13,92.79,-,-0.11%
48,"Oct 26, 2020",93.04,92.76,93.11,92.74,-,0.30%
49,"Oct 23, 2020",92.77,92.93,93.13,92.66,-,-0.20%
50,"Oct 22, 2020",92.95,92.67,92.97,92.61,-,0.37%
51,"Oct 21, 2020",92.61,93.05,93.07,92.47,-,-0.49%
52,"Oct 20, 2020",93.07,93.42,93.5,93.0,-,-0.39%
53,"Oct 19, 2020",93.43,93.72,93.77,93.21,-,-0.27%
54,"Oct 16, 2020",93.68,93.8,93.88,93.53,-,-0.19%
55,"Oct 15, 2020",93.86,93.43,93.9,93.37,-,0.51%
56,"Oct 14, 2020",93.38,93.54,93.67,93.25,-,-0.16%
57,"Oct 13, 2020",93.53,93.03,93.6,93.03,-,0.50%
58,"Oct 12, 2020",93.07,93.06,93.24,93.01,-,0.01%
59,"Oct 09, 2020",93.06,93.56,93.59,93.0,-,-0.59%
60,"Oct 08, 2020",93.61,93.61,93.78,93.5,-,-0.03%
