,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
0,89.94,89.94,89.94,89.94
1,89.42325305244472,89.47216358741642,89.44273222009959,89.47216358741642
2,88.9123958467095,89.00452120295962,88.94896426932728,89.00452120295964
3,88.40732825886275,88.53707272594926,88.45865932893673,88.53707272594926
4,87.90795242162318,88.06981803580504,87.97178109482891,88.06981803580504
5,87.41417266113888,87.60275701204661,87.48829376859108,87.60275701204661
6,86.92589543588,87.13588953429351,87.0081620487228,87.13588953429351
7,86.44302927756297,86.66921548226496,86.53135112204367,86.66921548226497
8,85.96548473402807,86.20273473577993,86.05782665527897,86.20273473577993
9,85.493174313995,85.73644717475682,85.58755478681846,85.73644717475682
10,85.02601243362538,85.27035267921354,85.12050211864468,85.27035267921354
11,84.56391536482295,84.8044511292673,84.6566357084262,84.8044511292673
12,84.1068011852066,84.33874240513458,84.1959230617723,84.33874240513458
13,83.6545897296929,83.87322638713096,83.73833212464507,83.87322638713096
14,83.20720254362807,83.40790295567106,83.28383127592517,83.40790295567103
15,82.76456283741227,82.94277199126842,82.83238932012776,82.9427719912684
16,82.32659544256063,82.47783337453538,82.38397548026495,82.47783337453538
17,81.89322676914828,82.01308698618308,81.93855939085148,82.01308698618308
18,81.46438476458916,81.54853270702118,81.49611109105007,81.54853270702118
19,81.03999887369946,81.08417041795795,81.05660101795353,81.08417041795795
20,80.62,80.62,80.62,80.62
21,98.72144781076868,98.13822813755503,98.43308317338683,98.13822813755502
22,98.15649339936438,97.66870105896255,97.90682802214862,97.66870105896257
23,97.59795420818442,97.19936870563967,97.38426967569956,97.19936870563967
24,97.04572158410969,96.73023095647495,96.86536931675028,96.73023095647495
25,96.49968931389063,96.26128769045732,96.35008866956969,96.26128769045735
26,95.9597535560438,95.79253878667612,95.83838999057335,95.79253878667612
27,95.42581277501651,95.32398412432076,95.33023605910765,95.32398412432076
28,94.89776767753301,94.85562358268086,94.8255901684245,94.85562358268088
29,94.37552115103679,94.38745704114604,94.3244161168425,94.38745704114604
30,93.85897820415053,93.91948437920571,93.82667819909003,93.91948437920573
31,93.34804590907568,93.4517054764492,93.33234119782534,93.4517054764492
32,92.84263334585913,92.98412021256547,92.84137037533057,92.98412021256547
33,92.34265154845626,92.51672846734304,92.35373146537418,92.51672846734303
34,91.84801345252373,92.04953012066997,91.86939066523892,92.04953012066994
35,91.35863384487699,91.58252505253364,91.3883146279108,91.58252505253364
36,90.87442931455121,91.11571314302077,90.91047045442572,91.11571314302077
37,90.39531820540692,90.6490942723172,90.43582568636947,90.64909427231721
