,1-OFF-NO,1-OFF-YES,DCA-NO,DCA-YES
0,3.30850156108174,3.30850156108174,3.3085015610817408,51.10619429395388
1,3.08781479445925,3.0917074059537795,3.0878147944592493,50.72881289212151
2,2.8720570686879534,2.879379383874265,2.8720570686879534,50.31333180627444
3,2.662108357956628,2.6723860864790927,2.662108357956628,49.85422414853115
4,2.45911656665264,2.4718570518304457,2.45911656665264,49.34484236009985
5,2.2645886172816403,2.279271375635998,2.2645886172816407,48.77711896219631
6,2.080508367222787,2.096572831132861,2.0805083672227864,48.14116601627848
7,1.9094787442495549,1.926309855425847,1.9094787442495549,47.42473090750931
8,1.7548674875620205,1.7717824219988707,1.7548674875620198,46.61244450932763
9,1.620896461131733,1.6371413497258027,1.6208964611317334,45.684763064052675
10,1.5125489733081208,1.527323117846243,1.5125489733081203,44.6164476413481
11,1.435108695441395,1.4476395951915937,1.4351086954413954,43.37432696050632
12,1.393199022032509,1.4028776941173957,1.3931990220325097,41.913916124040085
13,1.389505223250281,1.3960437570242372,1.3895052232502807,40.17414553045002
14,1.4238122787512795,1.42733628079244,1.4238122787512801,38.068842427170715
15,1.493021694536393,1.4940330470597698,1.4930216945363928,35.472368211920006
16,1.5921437133503322,1.5913824607818645,1.5921437133503327,32.1941456732466
17,1.715594260433516,1.7138864546685155,1.7155942604335148,27.93064173832417
18,1.8581597218604111,1.8563119001883288,1.8581597218604105,22.168007708761998
19,2.0154501628909745,2.0141991100749284,2.015450162890975,13.970267475527095
20,2.1839788062898196,2.1839788062898196,2.18397880628982,2.183978806289822
21,3.1988244522537728,3.201959495891687,3.198824452253772,50.70408062663682
22,2.9797914705149573,2.9863089403722496,2.9797914705149573,50.28769175834812
23,2.765968477653507,2.7754089770437895,2.765968477653506,49.82759852453398
24,2.5583332055390824,2.5702256018154577,2.558333205539083,49.31714223327311
25,2.358168657970676,2.3720231332214747,2.3581686579706767,48.74824206771931
26,2.1671679381594835,2.18246680741333,2.1671679381594835,48.110993974027814
27,1.987568071404409,2.003754468863129,1.9875680714044097,47.393125685163625
28,1.8223054059683397,1.8387714445983285,1.82230540596834,46.57924386298035
29,1.6751586971757821,1.69123830268833,1.6751586971757833,45.649774581084806
30,1.5507922147290607,1.565770534604358,1.550792214729061,44.57944083915294
31,1.4545336515216782,1.4676929650500743,1.4545336515216776,43.33502262713607
32,1.3916838544393442,1.4024048426896814,1.3916838544393442,41.87197165514884
33,1.3663149820417755,1.3742232119053173,1.3663149820417761,40.129134290898605
34,1.379963393170175,1.3850560693539435,1.3799633931701738,38.02022387182242
35,1.4310078663941916,1.4336752825104655,1.4310078663941912,35.41944297918335
36,1.5152037154847142,1.5161270449330986,1.5152037154847144,32.13598416724597
37,1.6269808033875046,1.626976718512611,1.6269808033875042,27.865958161888933
38,1.760700521847184,1.7605936692198645,1.760700521847183,22.094879735117097
39,1.9114053478082587,1.9119587644587681,1.9114053478082582,13.88502237418895
40,2.0750724874381445,2.076964627703751,2.075072487438145,2.0769646277037594
41,3.0906383285956616,3.096541120190103,3.090638328595662,50.26207947703778
42,2.8734028221645738,2.882179264411767,2.8734028221645747,49.80099971338636
43,2.661700039803294,2.6728943438730046,2.6617000398032946,49.289467931866874
44,2.456621040291603,2.4697656129683994,2.4566210402916044,48.71938997761649
45,2.259605665016264,2.2742144593213958,2.259605665016263,48.080845683342886
46,2.072562787734154,2.0881229124989256,2.072562787734154,47.36154313477793
47,1.8980206047398762,1.9139829420186079,1.898020604739875,46.54606479247555
48,1.7392917212885162,1.7550634949670973,1.7392917212885166,45.61480658078119
49,1.6005996342117097,1.615546491507268,1.60059963421171,44.54245346487416
50,1.4870427297696787,1.500515100329174,1.4870427297696782,43.295736769622565
51,1.4041903498818464,1.4155937536630527,1.4041903498818469,41.830044930363705
52,1.3571246172750413,1.3660412612163602,1.3571246172750417,40.084140505144426
53,1.3490481784294133,1.3553737828189223,1.3490481784294133,37.97162335542244
54,1.3801183077617063,1.3841324270225301,1.3801183077617063,35.36653815305402
55,1.4473210415901112,1.4496332062790194,1.44732104159011,32.077849292464
56,1.5454933007275515,1.5468999197968973,1.5454933007275518,27.80131671800019
57,1.668760969618981,1.6701007489035473,1.6687609696189813,22.021836169116156
58,1.811629212911164,1.813691947881403,1.8116292129111633,13.800014467534815
59,1.9694925723448231,1.9729828499439575,1.9694925723448224,1.9729828499439506
60,2.984048836690474,2.99235287056044,2.984048836690474,49.77442812920273
61,2.7687773416815373,2.7794477474190966,2.7687773416815378,49.26181988579977
62,2.5594103984719965,2.5719952948891693,2.559410398471996,48.6905631402374
63,2.357170734484203,2.3712068255790872,2.3571707344842032,48.0507216142705
64,2.1636804163536465,2.1786870494401387,2.1636804163536456,47.329983752224805
65,1.9810979686686367,1.9965703037614035,1.981097968668636,46.51290782482904
66,1.8122844073498716,1.827687390348213,1.812284407349872,45.579859628301925
67,1.6609706773993131,1.6757385107049452,1.660970677399313,44.50548613127682
68,1.531845509404415,1.5453967489596772,1.5318455094044148,43.25647006152329
69,1.4303957353135146,1.4421804121430974,1.4303957353135142,41.78813670312571
70,1.3622643077687488,1.3718575550474919,1.3622643077687493,40.03916503547665
71,1.3320149322797996,1.3392448928578429,1.332014932279799,37.923041895758516
72,1.34166613454589,1.3467146380036452,1.3416661345458898,35.313654988110095
73,1.389868085351139,1.3932672658775789,1.3898680853511378,32.01974269823512
74,1.472357140856371,1.474873766568553,1.4723571408563707,27.73671981168041
75,1.5833413486575636,1.5858241693955804,1.5833413486575632,21.948881252666997
76,1.7169012752650241,1.7201677982737922,1.7169012752650241,13.715255562465295
77,1.8678352302628356,1.8726188958585404,1.8678352302628356,1.8726188958585441
78,2.8791753328012577,2.889515079652012,2.8791753328012586,49.234198529675126
79,2.6660610022568454,2.6782615785813677,2.6660610022568454,48.66176200886711
80,2.4592807471190676,2.472894789278347,2.459280747119067,48.020622242086475
81,2.260210487654831,2.274780317256508,2.2602104876548306,47.298448038953794
82,2.07068391208724,2.0857369102770287,2.07068391208724,46.47977349305299
83,1.893147296078063,1.9081917496367673,1.893147296078063,45.54493429531924
84,1.7308383053787644,1.7453627111521244,1.7308383053787648,44.46853945828638
85,1.5879427607011842,1.6014253683494513,1.5879427607011838,43.21722318439464
86,1.4696112808565274,1.4815521778114336,1.4696112808565274,41.74624773599691
87,1.3816204215335277,1.3916112270924306,1.381620421533528,39.99420875487459
88,1.329445022220953,1.3372783468551075,1.3294450222209537,37.87448052363126
89,1.3167890829349993,1.3225703436057608,1.3167890829349997,35.26079475566041
90,1.3442291441644856,1.3484156666923555,1.344229144164486,31.961666057281818
91,1.4089172498672855,1.412240243574307,1.4089172498672857,27.672169885547575
92,1.5055923807481393,1.508907714187812,1.5055923807481388,21.876019306720796
93,1.628140095902085,1.6322951040591136,1.6281400959020838,13.630757795253512
94,1.770810014440429,1.7765711230439118,1.770810014440429,1.7765711230439036
95,2.7761527924063287,2.788164012616429,2.7761527924063287,48.63298704172972
96,2.5654197651120034,2.578788471221489,2.5654197651120034,47.990548047300784
97,2.3615181084351407,2.375802526879585,2.3615181084351407,47.266936501998885
98,2.1660020318205744,2.1807522477339836,2.1660020318205735,46.446662336166675
99,1.9809504398470914,1.9957059733557219,1.9809504398470914,45.5100311600317
100,1.8091390514098071,1.823428951606287,1.8091390514098076,44.431614073008255
101,1.654225336328779,1.6675754258640239,1.6542253363287784,43.17799682781839
102,1.5208734786584865,1.5328296495464968,1.520873478658486,41.7043788006969
103,1.4146548653750697,1.4248353558878668,1.414654865375069,39.94927254705888
